Commodity,CommodityCode,Pool,Year,Direction,Units,AsOfDate,LoadedDate
Residential allocations,RES,Placer County,1986,Released,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1987,Released,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1988,Released,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1989,Released,56,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1990,Released,63,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1991,Released,63,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1992,Released,83,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1993,Released,68,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1994,Released,62,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1995,Released,76,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1996,Released,88,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1997,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1998,Released,49,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1999,Released,54,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2000,Released,51,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2001,Released,55,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2002,Released,60,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2003,Released,46,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2004,Released,46,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2005,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2006,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2007,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2008,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2009,Released,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2011,Released,20,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2012,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2013,Released,26,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2014,Released,31,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2015,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2016,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2017,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2018,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2019,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2020,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2021,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2022,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2023,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2024,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2025,Released,31,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2026,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1986,Released,67,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1987,Released,67,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1988,Released,67,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1989,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1990,Released,45,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1991,Released,45,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1992,Released,53,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1993,Released,52,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1994,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1995,Released,48,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1996,Released,59,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1997,Released,53,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1998,Released,38,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,1999,Released,20,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2000,Released,32,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2001,Released,47,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2002,Released,24,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2003,Released,17,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2004,Released,18,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2005,Released,15,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2006,Released,31,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2007,Released,31,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2008,Released,37,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2009,Released,40,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2011,Released,18,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2012,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2013,Released,22,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2014,Released,22,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2015,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2016,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2017,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2018,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2019,Released,8,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2020,Released,8,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2021,Released,6,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2022,Released,6,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2023,Released,7,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2024,Released,6,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2025,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2026,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1986,Released,23,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1987,Released,13,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1988,Released,23,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1989,Released,12,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1990,Released,18,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1991,Released,18,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1992,Released,20,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1993,Released,17,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1994,Released,15,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1995,Released,22,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1996,Released,23,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1997,Released,22,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1998,Released,17,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1999,Released,17,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2000,Released,23,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2001,Released,22,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2002,Released,12,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2003,Released,13,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2004,Released,14,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2005,Released,12,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2006,Released,13,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2007,Released,14,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2008,Released,14,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2009,Released,15,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2011,Released,7,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2012,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2013,Released,8,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2014,Released,9,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2015,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2016,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2017,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2018,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2019,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2020,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2021,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2022,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2023,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2024,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2025,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2026,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1986,Released,107,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1987,Released,107,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1988,Released,105,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1989,Released,59,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1990,Released,175,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1991,Released,174,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1992,Released,129,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1993,Released,127,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1994,Released,120,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1995,Released,111,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1996,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1997,Released,80,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1998,Released,81,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1999,Released,85,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2000,Released,88,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2001,Released,86,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2002,Released,84,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2003,Released,111,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2004,Released,90,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2005,Released,82,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2006,Released,83,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2007,Released,76,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2008,Released,76,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2009,Released,69,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2011,Released,27,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2012,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2013,Released,45,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2014,Released,47,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2015,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2016,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2017,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2018,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2019,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2020,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2021,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2022,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2023,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2024,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2025,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2026,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1997,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1998,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1999,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2000,Released,30,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2001,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2002,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2003,Released,41,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2004,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2005,Released,29,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2006,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2007,Released,29,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2008,Released,35,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2009,Released,32,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2011,Released,14,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2012,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2013,Released,18,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2014,Released,20,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2015,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2016,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2017,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2018,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2019,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2020,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2021,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2022,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2023,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2024,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2025,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2026,Released,33,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1999,Released,1,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2000,Released,5,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2001,Released,15,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2002,Released,38,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2003,Released,47,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2004,Released,38,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2005,Released,41,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2006,Released,21,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2007,Released,5,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2008,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2009,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2011,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2012,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2013,Released,11,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2014,Released,1,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2015,Released,20,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2016,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2017,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2018,Released,10,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2019,Released,12,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2020,Released,12,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2021,Released,14,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2022,Released,14,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2023,Released,13,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2024,Released,14,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2025,Released,16,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2026,Released,17,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1986,Released,300,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1987,Released,290,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1988,Released,298,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1989,Released,164,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1990,Released,301,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1991,Released,300,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1992,Released,285,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1993,Released,264,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1994,Released,232,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1995,Released,257,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1996,Released,300,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1997,Released,235,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1998,Released,220,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1999,Released,212,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2000,Released,229,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2001,Released,260,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2002,Released,253,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2003,Released,275,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2004,Released,241,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2005,Released,229,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2006,Released,233,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2007,Released,205,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2008,Released,212,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2009,Released,206,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2010,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2011,Released,86,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2012,Released,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2013,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2014,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2015,Released,140,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2016,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2017,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2018,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2019,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2020,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2021,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2022,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2023,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2024,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2025,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2026,Released,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1986,Assigned,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1987,Assigned,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1988,Assigned,103,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1989,Assigned,56,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1990,Assigned,63,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1991,Assigned,63,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1992,Assigned,83,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1993,Assigned,68,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1994,Assigned,62,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1995,Assigned,76,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1996,Assigned,88,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1997,Assigned,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1998,Assigned,49,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,1999,Assigned,54,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2000,Assigned,51,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2001,Assigned,55,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2002,Assigned,60,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2003,Assigned,46,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2004,Assigned,46,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2005,Assigned,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2006,Assigned,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2007,Assigned,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2008,Assigned,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2009,Assigned,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2010,Assigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2011,Assigned,20,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2012,Assigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Placer County,2013,Assigned,26,"May 12, 2026",2026-05-15
