APN,CSV_Units,Scenario,Has_FC_Row,Has_Geometry,FC_Units,In_Genealogy,Explanation
027-323-010,240,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
123-032-01,24,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
021-321-029,16,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-300-059,14,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
112-190-040,14,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-091-050,13,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
015-304-031,10,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
025-224-018,10,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
025-382-007,10,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-010-019,10,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
031-085-022,10,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
035-234-009,10,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
015-104-009,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
015-264-017,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
017-021-015,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
017-021-020,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
018-320-011,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
021-321-009,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
027-313-002,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
034-284-028,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
036-543-011,8,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
015-370-30,6,D,False,False,0,False,No FC row and not in genealogy — true data gap; verify CSV APN format and AllParcels service
016-300-64,6,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
018-320-18,6,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-081-042,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-081-043,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-091-051,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-300-021,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-544-016,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
017-021-018,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
018-090-079,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
018-300-006,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
021-241-001,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
021-321-033,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
022-331-025,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
023-341-003,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
025-225-015,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
025-451-017,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
025-451-018,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
025-510-090,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
025-551-001,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
026-034-008,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
026-061-005,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
026-139-023,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
027-313-006,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
027-313-012,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
028-301-006,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-095-006,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-095-019,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-104-001,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-602-011,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
030-434-009,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
031-084-015,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
033-574-003,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
034-691-020,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
034-722-004,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
034-734-022,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
035-293-016,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
035-301-001,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
036-350-009,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
036-530-023,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-211-014,3,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-095-021,2,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
