Year,JurisdictionAbbrev,CommodityShortName,Allocated,Banked,Existing,UnusedCapacity
2004,TRPA,Pot. Cover.,,1077.0,,
2004,WA,Pot. Cover.,,,-1077.0,
2005,TRPA,Pot. Cover.,,8461.0,,
2005,WA,Pot. Cover.,,,-8461.0,
2006,DG,Soft Cover.,,,-20804.0,
2006,TRPA,Pot. Cover.,,8398.0,,
2006,TRPA,Soft Cover.,,53664.0,,
2006,WA,Pot. Cover.,,,-8398.0,
2006,WA,Soft Cover.,,,-32860.0,
2007,DG,Soft Cover.,,,-27777.0,
2007,TRPA,Pot. Cover.,,85748.0,,
2007,TRPA,Soft Cover.,,72406.0,,
2007,WA,Pot. Cover.,,,-85748.0,
2007,WA,Soft Cover.,,,-44629.0,
2008,DG,Hard Cover.,,,-311.0,
2008,DG,Soft Cover.,,,-26212.0,
2008,SLT,Hard Cover.,,148.0,-148.0,
2008,TRPA,Hard Cover.,,311.0,,
2008,TRPA,Pot. Cover.,,72700.0,,
2008,TRPA,Soft Cover.,,70841.0,,
2008,WA,Pot. Cover.,,,-72700.0,
2009,DG,SFRUU,,,-1.0,
2009,TRPA,PRUU,,0.0,,
2009,TRPA,Pot. Cover.,,72258.0,,
2009,TRPA,SFRUU,,1.0,,
2009,WA,PRUU,,,0.0,
2009,WA,Pot. Cover.,,,-72258.0,
2010,DG,PRUU,,,-1.0,
2010,DG,SFRUU,,,0.0,
2010,EL,Res. Alloc.,2.0,,,
2010,PL,CFA,2997.0,,,
2010,SLT,Soft Cover.,,621.0,-621.0,
2010,TRPA,CFA,,,,-2997.0
2010,TRPA,PRUU,,1.0,,
2010,TRPA,Pot. Cover.,,71445.0,,
2010,TRPA,Res. Alloc.,,,,-2.0
2010,TRPA,SFRUU,,0.0,,
2010,WA,Pot. Cover.,,,-71445.0,
2011,DG,PRUU,,,-2.0,
2011,DG,Res. Alloc.,1.0,,,
2011,DG,Soft Cover.,,,-23596.0,
2011,TRPA,PRUU,,2.0,,
2011,TRPA,Pot. Cover.,,68908.0,,
2011,TRPA,Res. Alloc.,,,,-3.0
2011,TRPA,Soft Cover.,,68225.0,,
2011,WA,Pot. Cover.,,,-68908.0,
2012,DG,Res. Alloc.,4.0,,,
2012,EL,Res. Alloc.,21.0,,,
2012,PL,Res. Alloc.,1.0,,,
2012,SLT,Hard Cover.,,156.0,-156.0,
2012,SLT,Res. Alloc.,1.0,,,
2012,TRPA,Pot. Cover.,,68825.0,,
2012,TRPA,Res. Alloc.,,,,-27.0
2012,WA,Pot. Cover.,,,-68825.0,
2013,DG,Hard Cover.,,,-1778.0,
2013,DG,Pot. Cover.,,,0.0,
2013,DG,Res. Alloc.,8.0,,,
2013,DG,SFRUU,,,0.0,
2013,DG,Soft Cover.,,,-85313.0,
2013,EL,CFA,2500.0,,,
2013,EL,Pot. Cover.,,,0.0,
2013,EL,Res. Alloc.,48.0,,,
2013,PL,CFA,7372.0,,,
2013,PL,PRUU,,,0.0,
2013,PL,Res. Alloc.,2.0,,,
2013,SLT,CFA,5000.0,,,
2013,SLT,Hard Cover.,,166.0,-166.0,
2013,SLT,Res. Alloc.,7.0,,,
2013,SLT,SFRUU,,,1.0,
2013,SLT,TAU,,,-1.0,
2013,TRPA,CFA,,,,-14872.0
2013,TRPA,Pot. Cover.,,68033.0,,
2013,TRPA,Res. Alloc.,,,,-65.0
2013,TRPA,Soft Cover.,,105578.0,,
2013,WA,Hard Cover.,,,-4140.0,
2013,WA,Pot. Cover.,,,-68033.0,
2014,DG,CFA,2730.0,,,
2014,DG,Hard Cover.,,,-6731.0,
2014,DG,Pot. Cover.,,,0.0,
2014,DG,Res. Alloc.,24.0,,,
2014,DG,Rest. Cred.,,,-13063.0,
2014,DG,Soft Cover.,,,-91947.0,
2014,DG,TAU,,,194.0,
2014,EL,CFA,2755.0,,,
2014,EL,Hard Cover.,,,-16256.0,
2014,EL,Pot. Cover.,,,0.0,
2014,EL,Res. Alloc.,96.0,,,
2014,PL,Hard Cover.,,,-2838.0,
2014,PL,PAOT,60.0,,,
2014,PL,Pot. Cover.,,,-41902.0,
2014,PL,TAU,50.0,,,
2014,SLT,CFA,,,8958.0,
2014,SLT,Hard Cover.,,,-45063.0,
2014,SLT,Res. Alloc.,25.0,,,
2014,SLT,SFRUU,,,3.0,
2014,SLT,TAU,,,-224.0,
2014,TRPA,CFA,,,,-17857.0
2014,TRPA,PAOT,,,,-60.0
2014,TRPA,PRUU,,2.0,,
2014,TRPA,Pot. Cover.,,67995.0,,
2014,TRPA,Res. Alloc.,,,,-147.0
2014,TRPA,Rest. Cred.,,13063.0,,
2014,TRPA,Soft Cover.,,112212.0,,
2014,TRPA,TAU,,,,-50.0
2014,WA,PRUU,,,0.0,
2014,WA,Pot. Cover.,,,-67995.0,
2015,DG,Hard Cover.,,,-8784.0,
2015,DG,PRUU,,,-2.0,
2015,DG,Res. Alloc.,28.0,,,
2015,DG,Rest. Cred.,,,-7330.0,
2015,DG,Soft Cover.,,,-90618.0,
2015,EL,Pot. Cover.,,,-300.0,
2015,EL,Res. Alloc.,123.0,,,
2015,PL,Pot. Cover.,,,-57932.0,
2015,PL,Res. Alloc.,16.0,,,
2015,PL,SFRUU,,,10.0,
2015,PL,TAU,,,-12.0,
2015,SLT,CFA,20276.0,,13369.0,
2015,SLT,Hard Cover.,,993.0,-43837.0,
2015,SLT,PRUU,,1.0,-1.0,
2015,SLT,Pot. Cover.,,,300.0,
2015,SLT,RFA,,,-4411.0,
2015,SLT,Res. Alloc.,50.0,,,
2015,SLT,SFRUU,,,3.0,
2015,TRPA,CFA,,,,-33133.0
2015,TRPA,Pot. Cover.,,67124.0,,
2015,TRPA,Res. Alloc.,,,,-217.0
2015,TRPA,Rest. Cred.,,7330.0,,
2015,TRPA,Soft Cover.,,110883.0,,
2015,WA,Pot. Cover.,,,-67124.0,
2016,DG,Hard Cover.,,,-10594.0,
2016,DG,PAOT,168.0,,,
2016,DG,Pot. Cover.,,,0.0,
2016,DG,Res. Alloc.,32.0,,,
2016,DG,SFRUU,,,-1.0,
2016,DG,Soft Cover.,,,-88954.0,
2016,EL,Hard Cover.,,,-16256.0,
2016,EL,PRUU,,,0.0,
2016,EL,Pot. Cover.,,,-300.0,
2016,EL,Res. Alloc.,141.0,,,
2016,PL,PRUU,,,0.0,
2016,PL,Res. Alloc.,23.0,,,
2016,PL,SFRUU,,,10.0,
2016,SLT,CFA,46224.0,,,
2016,SLT,Hard Cover.,,4976.0,-46010.0,
2016,SLT,PRUU,,2.0,-2.0,
2016,SLT,Pot. Cover.,,,300.0,
2016,SLT,Res. Alloc.,55.0,,,
2016,SLT,SFRUU,,2.0,4.0,
2016,SLT,TAU,,,-296.0,
2016,TRPA,CFA,,,,-59081.0
2016,TRPA,PAOT,,,,-228.0
2016,TRPA,Pot. Cover.,,76339.0,,
2016,TRPA,Res. Alloc.,,,,-251.0
2016,TRPA,Soft Cover.,,109219.0,,
2016,WA,Pot. Cover.,,,-76339.0,
2016,WA,SFRUU,,,40.0,
2016,WA,TAU,,,30.0,
2017,DG,Hard Cover.,,,-18318.0,
2017,DG,Res. Alloc.,36.0,,,
2017,DG,SFRUU,,,-2.0,
2017,DG,Soft Cover.,,,-87153.0,
2017,EL,Hard Cover.,,,-16256.0,
2017,EL,Pot. Cover.,,,109.0,
2017,EL,Res. Alloc.,202.0,,,
2017,EL,Rest. Cred.,,,402.0,
2017,EL,SFRUU,,,-1.0,
2017,PL,CFA,,,-26322.0,
2017,PL,Pot. Cover.,,,-57932.0,
2017,PL,Res. Alloc.,41.0,,,
2017,PL,SFRUU,,,20.0,
2017,PL,TAU,,,32.0,
2017,SLT,CFA,,,14900.0,
2017,SLT,Hard Cover.,,6457.0,-39767.0,
2017,SLT,PRUU,,,-3.0,
2017,SLT,Pot. Cover.,,,-109.0,
2017,SLT,RBU,1.0,,,
2017,SLT,Res. Alloc.,70.0,,,
2017,SLT,Rest. Cred.,,,-402.0,
2017,SLT,SFRUU,,,6.0,
2017,SLT,TAU,,,-297.0,
2017,TRPA,Pot. Cover.,,79017.0,,
2017,TRPA,RBU,,,,-1.0
2017,TRPA,Res. Alloc.,,,,-356.0
2017,TRPA,Soft Cover.,,106561.0,,
2017,WA,Hard Cover.,,,-4140.0,
2017,WA,PRUU,,,1.0,
2017,WA,Pot. Cover.,,,-79017.0,
2017,WA,Res. Alloc.,7.0,,,
2017,WA,Soft Cover.,,,-43772.0,
2018,DG,Hard Cover.,,,-22503.0,
2018,DG,Res. Alloc.,43.0,,,
2018,DG,SFRUU,,,-2.0,
2018,DG,Soft Cover.,,,-78834.0,
2018,EL,Hard Cover.,,,-16256.0,
2018,EL,Pot. Cover.,,,1334.0,
2018,EL,Res. Alloc.,263.0,,,
2018,EL,SFRUU,,,-1.0,
2018,PL,PRUU,,,0.0,
2018,PL,Pot. Cover.,,,-57932.0,
2018,PL,RBU,8.0,,,
2018,PL,Res. Alloc.,62.0,,,
2018,PL,SFRUU,,,19.0,
2018,SLT,CFA,47610.0,,,
2018,SLT,Hard Cover.,,19623.0,-82016.0,
2018,SLT,PRUU,,,-3.0,
2018,SLT,Pot. Cover.,,,-1334.0,
2018,SLT,Res. Alloc.,93.0,,,
2018,SLT,SFRUU,,,7.0,
2018,SLT,Soft Cover.,,2449.0,-2449.0,
2018,TRPA,CFA,,,,-60467.0
2018,TRPA,Hard Cover.,,2916.0,,
2018,TRPA,Pot. Cover.,,78690.0,,
2018,TRPA,RBU,,,,-9.0
2018,TRPA,Res. Alloc.,,,,-477.0
2018,TRPA,Soft Cover.,,97890.0,,
2018,WA,CFA,,,0.0,
2018,WA,Pot. Cover.,,,-78690.0,
2018,WA,Res. Alloc.,16.0,,,
2018,WA,Soft Cover.,,,-43420.0,
2019,DG,CFA,,,-1300.0,
2019,DG,Hard Cover.,,,-23207.0,
2019,DG,Res. Alloc.,46.0,,,
2019,DG,SFRUU,,,-1.0,
2019,DG,Soft Cover.,,,-78771.0,
2019,EL,CFA,,,1000.0,
2019,EL,Hard Cover.,,,-16512.0,
2019,EL,PRUU,,,-1.0,
2019,EL,Pot. Cover.,,,2209.0,
2019,EL,Res. Alloc.,266.0,,,
2019,PL,CFA,,,-26722.0,
2019,PL,MFRUU,,,2.0,
2019,PL,PRUU,,,0.0,
2019,PL,Res. Alloc.,69.0,,,
2019,PL,SFRUU,,,15.0,
2019,PL,TAU,98.0,,36.0,
2019,SLT,CFA,,,13700.0,
2019,SLT,Hard Cover.,,29385.0,-91522.0,
2019,SLT,PRUU,,5.0,-6.0,
2019,SLT,Pot. Cover.,,,-2209.0,
2019,SLT,RBU,3.0,,,
2019,SLT,Res. Alloc.,96.0,,,
2019,SLT,SFRUU,,,11.0,
2019,SLT,Soft Cover.,,3019.0,-3019.0,
2019,TRPA,Hard Cover.,,3620.0,,
2019,TRPA,PAOT,,,,-260.0
2019,TRPA,Pot. Cover.,,78368.0,,
2019,TRPA,RBU,,,,-11.0
2019,TRPA,Res. Alloc.,1.0,,,-504.0
2019,TRPA,Soft Cover.,,97752.0,,
2019,TRPA,TAU,,,,-98.0
2019,WA,Hard Cover.,,,-4140.0,
2019,WA,PAOT,32.0,,,
2019,WA,PRUU,,,2.0,
2019,WA,Pot. Cover.,,,-78368.0,
2019,WA,Res. Alloc.,26.0,,,
2019,WA,Soft Cover.,,,-43345.0,
2020,DG,CFA,,,-7800.0,
2020,DG,Hard Cover.,,148820.0,-169681.0,
2020,DG,PRUU,,,-2.0,
2020,DG,Res. Alloc.,48.0,,,
2020,DG,SFRUU,,2.0,-2.0,
2020,DG,Soft Cover.,,,-78677.0,
2020,EL,Hard Cover.,,375.0,-16887.0,
2020,EL,PRUU,,,-2.0,
2020,EL,Pot. Cover.,,,2209.0,
2020,EL,Res. Alloc.,306.0,,,
2020,EL,SFRUU,,,0.0,
2020,PL,CFA,,3320.0,-33742.0,
2020,PL,Hard Cover.,,1868.0,-4706.0,
2020,PL,MFRUU,,,19.0,
2020,PL,PRUU,,,0.0,
2020,PL,Res. Alloc.,82.0,,,
2020,PL,Rest. Cred.,,,125.0,
2020,PL,SFRUU,,,16.0,
2020,PL,Soft Cover.,,750.0,-750.0,
2020,PL,TAU,,6.0,30.0,
2020,SLT,CFA,48734.0,,9770.0,
2020,SLT,Hard Cover.,,32053.0,-94190.0,
2020,SLT,PRUU,,,-5.0,
2020,SLT,Pot. Cover.,,,-2209.0,
2020,SLT,RBU,8.0,,,
2020,SLT,Res. Alloc.,112.0,,,
2020,SLT,SFRUU,,,20.0,
2020,SLT,Soft Cover.,,3481.0,-3481.0,
2020,SLT,TAU,,,-306.0,
2020,TRPA,CFA,,,,-61591.0
2020,TRPA,Hard Cover.,,1274.0,,
2020,TRPA,RBU,,,,-16.0
2020,TRPA,Res. Alloc.,,,,-575.0
2020,TRPA,Rest. Cred.,,6946.0,,
2020,TRPA,Soft Cover.,,97658.0,,
2020,WA,CFA,,,9300.0,
2020,WA,Hard Cover.,,6924.0,-11064.0,
2020,WA,MFRUU,,,2.0,
2020,WA,Pot. Cover.,,,-78368.0,
2020,WA,Rest. Cred.,,,259.0,
2020,WA,SFRUU,,1.0,39.0,
2021,DG,CFA,,,-9800.0,
2021,DG,Hard Cover.,,162056.0,-184217.0,
2021,DG,PRUU,,2.0,-4.0,
2021,DG,Pot. Cover.,,,-1537.0,
2021,DG,Res. Alloc.,49.0,,,
2021,DG,SFRUU,,3.0,-4.0,
2021,DG,Soft Cover.,,2766.0,-81443.0,
2021,EL,CFA,,,700.0,
2021,EL,Hard Cover.,,785.0,-17297.0,
2021,EL,PRUU,,,-9.0,
2021,EL,Pot. Cover.,,,-1568.0,
2021,EL,Res. Alloc.,309.0,,,
2021,EL,SFRUU,,,7.0,
2021,PL,CFA,,7920.0,-38342.0,
2021,PL,Hard Cover.,,13600.0,-16438.0,
2021,PL,PRUU,,,0.0,
2021,PL,Pot. Cover.,,,-57932.0,
2021,PL,RBU,10.0,,,
2021,PL,Res. Alloc.,91.0,,,
2021,PL,SFRUU,,1.0,15.0,
2021,PL,Soft Cover.,,851.0,-851.0,
2021,SLT,CFA,,,8282.0,
2021,SLT,Hard Cover.,,32311.0,-93148.0,
2021,SLT,MFRUU,,,-2.0,
2021,SLT,PRUU,,,3.0,
2021,SLT,Pot. Cover.,,,1568.0,
2021,SLT,RBU,229.0,,,
2021,SLT,Res. Alloc.,146.0,,,
2021,SLT,SFRUU,,,41.0,
2021,SLT,TAU,,,-309.0,
2021,TRPA,CFA,,,,-64565.0
2021,TRPA,Pot. Cover.,,79247.0,,
2021,TRPA,RBU,,,,-239.0
2021,TRPA,Res. Alloc.,,,,-627.0
2021,TRPA,Soft Cover.,,97358.0,,
2021,WA,CFA,2974.0,70190.0,-64002.0,
2021,WA,Hard Cover.,,34237.0,-38377.0,
2021,WA,PRUU,,,1.0,
2021,WA,Pot. Cover.,,,-77710.0,
2021,WA,Res. Alloc.,31.0,,,
2021,WA,SFRUU,,9.0,31.0,
2021,WA,Soft Cover.,,,-43045.0,
2021,WA,TAU,,28.0,2.0,
2022,DG,Hard Cover.,,162258.0,-184419.0,
2022,DG,Res. Alloc.,53.0,,,
2022,DG,Soft Cover.,,4561.0,-83238.0,
2022,EL,Hard Cover.,,2016.0,-18528.0,
2022,EL,PRUU,,,-15.0,
2022,EL,Pot. Cover.,,,-1747.0,
2022,EL,Res. Alloc.,314.0,,,
2022,EL,Rest. Cred.,,,546.0,
2022,EL,SFRUU,,1.0,26.0,
2022,EL,Soft Cover.,,972.0,-2070.0,
2022,PL,CFA,7790.0,,-42042.0,
2022,PL,Hard Cover.,,88070.0,-90908.0,
2022,PL,PRUU,,,0.0,
2022,PL,Pot. Cover.,,,-57932.0,
2022,PL,RBU,16.0,,,
2022,PL,Res. Alloc.,92.0,,,
2022,PL,Rest. Cred.,,,-19.0,
2022,PL,SFRUU,,,17.0,
2022,PL,TAU,,,13.0,
2022,SLT,CFA,52675.0,,2790.0,
2022,SLT,Hard Cover.,,34156.0,-94993.0,
2022,SLT,MFRUU,,,13.0,
2022,SLT,PRUU,,,9.0,
2022,SLT,Pot. Cover.,,,1747.0,
2022,SLT,RBU,261.0,,,
2022,SLT,Res. Alloc.,155.0,,,
2022,SLT,SFRUU,,,45.0,
2022,SLT,Soft Cover.,,4338.0,-3240.0,
2022,SLT,TAU,,,-311.0,
2022,TRPA,CFA,,,,-68924.0
2022,TRPA,Pot. Cover.,,71517.0,,
2022,TRPA,RBU,,,,-277.0
2022,TRPA,Res. Alloc.,,,,-647.0
2022,WA,CFA,,,-60302.0,
2022,WA,Hard Cover.,,43662.0,-47802.0,
2022,WA,Pot. Cover.,,,-69980.0,
2022,WA,Res. Alloc.,32.0,,,
2023,DG,Hard Cover.,,209882.0,-276149.0,
2023,DG,Pot. Cover.,,,-1537.0,
2023,DG,Res. Alloc.,55.0,,,
2023,DG,SFRUU,,,-3.0,
2023,DG,Soft Cover.,,6127.0,-84786.0,
2023,EL,CFA,,,700.0,
2023,EL,Hard Cover.,,2253.0,-19568.0,
2023,EL,PRUU,,1.0,-16.0,
2023,EL,Pot. Cover.,,,-153643.0,
2023,EL,Rest. Cred.,,,25546.0,
2023,EL,SFRUU,,,28.0,
2023,EL,Soft Cover.,,13584.0,-14682.0,
2023,PL,CFA,8828.0,,-45042.0,
2023,PL,Hard Cover.,,102030.0,-104868.0,
2023,PL,MFRUU,,,29.0,
2023,PL,PRUU,,,0.0,
2023,PL,Pot. Cover.,,,-58463.0,
2023,PL,RBU,17.0,,,
2023,PL,Res. Alloc.,93.0,,,
2023,PL,Rest. Cred.,,,-19.0,
2023,PL,SFRUU,,,18.0,
2023,PL,Soft Cover.,,3129.0,-3129.0,
2023,SLT,CFA,,,1590.0,
2023,SLT,Hard Cover.,,133598.0,-194435.0,
2023,SLT,MFRUU,,,57.0,
2023,SLT,Pot. Cover.,,,41023.0,
2023,SLT,RBU,356.0,,,
2023,SLT,Res. Alloc.,156.0,,,
2023,SLT,Rest. Cred.,,,-25402.0,
2023,SLT,SFRUU,,,54.0,
2023,SLT,TAU,,,-348.0,
2023,TRPA,CFA,,,,-69962.0
2023,TRPA,Hard Cover.,,23327.0,,
2023,TRPA,Pot. Cover.,,184668.0,,
2023,TRPA,RBU,,,,-373.0
2023,TRPA,Res. Alloc.,,,,-652.0
2023,TRPA,Rest. Cred.,,6749.0,,
2023,TRPA,Soft Cover.,,94263.0,,
2023,WA,CFA,,70305.0,-60417.0,
2023,WA,Hard Cover.,,46644.0,-50784.0,
2023,WA,Res. Alloc.,33.0,,,
2023,WA,Rest. Cred.,,,456.0,
2023,WA,Soft Cover.,,1239.0,-41207.0,
2024,DG,SFRUU,,,-2.0,
2024,EL,Pot. Cover.,,,-153759.0,
2024,PL,RBU,18.0,,,
2024,SLT,CFA,54647.0,,,
2024,SLT,Pot. Cover.,,,41139.0,
2024,SLT,SFRUU,,,53.0,
2024,TRPA,CFA,,,,-71934.0
2024,TRPA,RBU,,,,-374.0
